date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes,date,quote_ccy_raw,fee_ccy_raw,quote_ccy_rate,fee_ccy_rate,eur_per_quote,eur_per_fee,base_ccy_raw,base_ccy_rate,eur_per_base
2024-12-31 11:15:00+00:00,binance,b53578ae15ec2abd,trades,trade,BTC,USDT,sell,-0.00031,29.1722369,94103.99,0.02917224,USDT,28.079927706246696,0.028079930690172,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,7735c02816822d1a,trades,trade,BTC,USDT,sell,-6e-05,5.6462357999999995,94103.93,0.00564624,USDT,5.43482125213449,0.005434825294872,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,c84c4a5cde2e3ad4,trades,trade,BTC,USDT,sell,-0.078,7339.91778,94101.51,7.33991778,USDT,7065.0859356004585,7.065085935600459,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2097ed83a1e828d3,trades,trade,BTC,USDT,sell,-6e-05,5.6461787999999995,94102.98,0.00564618,USDT,5.434766386411139,0.005434767541479,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,489fdfcbe23b3c31,trades,trade,BTC,USDT,sell,-0.011,1035.14389,94103.99,1.03514389,USDT,996.3845315119795,0.9963845315119795,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,cb90c17e7aad995d,trades,trade,BTC,USDT,sell,-6e-05,5.646145799999999,94102.43,0.00564615,USDT,5.4347346220449895,0.0054347386647825,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,79410860b50df6cd,trades,trade,BTC,USDT,sell,-0.0003,28.231196999999998,94103.99,0.0282312,USDT,27.174123586690346,0.02717412647436,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,7ffc1c794c1c125c,trades,trade,BTC,USDT,sell,-0.00303,285.13508970000004,94103.99,0.28513509,USDT,274.4586482255726,0.2744586485143395,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,7f79441cef3b838a,trades,trade,BTC,USDT,sell,-0.19332,18192.1833468,94103.99,18.19218335,USDT,17511.00523926326,17.511005242343444,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,724a398d3b19e5f1,trades,trade,BTC,USDT,sell,-6e-05,5.6461386,94102.31,0.00564614,USDT,5.434727691637829,0.0054347290392169996,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,d858d49f7b24272c,trades,trade,BTC,USDT,sell,-0.19852,18680.8967716,94100.83,18.68089677,USDT,17981.419547377434,17.981419545837344,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,ad061bb2f1aec9cb,trades,trade,BTC,USDT,sell,-0.00302,284.1940498,94103.99,0.28419405,USDT,273.5528441060162,0.27355284429852744,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,964acf682e8af231,trades,trade,BTC,USDT,sell,-6e-05,5.646177600000001,94102.96,0.00564618,USDT,5.43476523134328,0.005434767541479,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,62db0f597b77c576,trades,trade,BTC,USDT,sell,-0.17077,16070.138372300002,94103.99,16.07013837,USDT,15468.416949663704,15.468416947449821,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,7735c02816822d1a,trades,trade,BTC,USDT,sell,-6e-05,5.6462357999999995,94103.93,0.00564624,USDT,5.43482125213449,0.005434825294872,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,1c1a48700e8fe099,trades,trade,BTC,USDT,sell,-6e-05,5.646122399999999,94102.04,0.00564612,USDT,5.434712098221719,0.0054347097880859995,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,f18176765dd353c3,trades,trade,BTC,USDT,sell,-0.05313,4999.6254462,94101.74,4.99962545,USDT,4812.422220786482,4.812422224444197,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,216d39067b28881e,trades,trade,BTC,USDT,sell,-0.00021,19.761837900000003,94103.99,0.01976184,USDT,19.02188651068325,0.019021888532051997,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,964acf682e8af231,trades,trade,BTC,USDT,sell,-6e-05,5.646177600000001,94102.96,0.00564618,USDT,5.43476523134328,0.005434767541479,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,81c6c37fc89ff134,trades,trade,BTC,USDT,sell,-0.07232,6805.3727487999995,94100.84,6.80537275,USDT,6550.556114548944,6.550556115704012,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
