month,account,asset,memo,debit,credit,posting_date,Reference
2024-03,262500 Cost of acquisition of crypto assets,AVAX,okx Buy AVAX - inventory at cost,9762.88,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,AXS,okx Buy AXS - inventory at cost,4579.13,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BNB,okx Buy BNB - inventory at cost,24234.33,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BONK,okx Buy BONK - inventory at cost,21100.74,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,77072.97,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,CFX,okx Buy CFX - inventory at cost,64520.34,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,DOGE,okx Buy DOGE - inventory at cost,42923.98,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,8917.73,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,FET,okx Buy FET - inventory at cost,29606.28,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,FRONT,okx Buy FRONT - inventory at cost,36.66,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,FTM,okx Buy FTM - inventory at cost,2293.62,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,GRT,okx Buy GRT - inventory at cost,64364.83,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,MATIC,okx Buy MATIC - inventory at cost,27367.3,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,PEPE,okx Buy PEPE - inventory at cost,23531.2,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,SHIB,okx Buy SHIB - inventory at cost,12911.58,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,STX,okx Buy STX - inventory at cost,2294.84,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,SUI,okx Buy SUI - inventory at cost,9193.14,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,TIA,okx Buy TIA - inventory at cost,14684.26,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,USDC,okx Buy USDC - inventory at cost,1504.61,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,XTZ,okx Buy XTZ - inventory at cost,8371.81,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,ATOM,okx Buy ATOM - cash outflow (cost + fees),0.0,18249.31,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,AVAX,okx Buy AVAX - cash outflow (cost + fees),0.0,9766.87,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,AXS,okx Buy AXS - cash outflow (cost + fees),0.0,4581.2,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,BNB,okx Buy BNB - cash outflow (cost + fees),0.0,24244.03,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,BONK,okx Buy BONK - cash outflow (cost + fees),0.0,21109.96,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,BTC,okx Buy BTC - cash outflow (cost + fees),0.0,77105.89,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,CFX,okx Buy CFX - cash outflow (cost + fees),0.0,64550.34,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,DOGE,okx Buy DOGE - cash outflow (cost + fees),0.0,42942.85,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,8921.84,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,FET,okx Buy FET - cash outflow (cost + fees),0.0,29619.5,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,FRONT,okx Buy FRONT - cash outflow (cost + fees),0.0,36.68,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,FTM,okx Buy FTM - cash outflow (cost + fees),0.0,2294.7,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,GRT,okx Buy GRT - cash outflow (cost + fees),0.0,64390.91,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,MATIC,okx Buy MATIC - cash outflow (cost + fees),0.0,27378.14,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,PEPE,okx Buy PEPE - cash outflow (cost + fees),0.0,23541.52,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,SHIB,okx Buy SHIB - cash outflow (cost + fees),0.0,12917.03,2024-03-31,CRYPTO ALL 2024-03
