month,asset,qty_sold,proceeds_eur,cost_eur,fees_eur,realized_pnl_eur,_balance_check
2024-03,BTC,0.9262900000000001,60451.45202287712,59493.20628855596,60.511964013807955,958.2457343211655,-0.0
2024-04,BTC,0.50543,32123.172435472625,31684.02117305668,32.15532776259065,439.1512624159454,-0.0
2024-04,LTC,93.64,8709.293074091125,6506.883470847215,8.718011085176302,2202.40960324391,0.0
2024-05,ATO,1515.16,12663.228008025182,0.0,12.67590391193712,12663.228008025182,0.0
2024-05,BNB,100.071,52233.39388293557,53983.98741483675,52.25643029083118,-1750.5935319011783,-0.0
2024-05,BON,791140167.0,17952.403588621815,0.0,17.97037396436221,17952.403588621815,0.0
2024-05,BTC,1.00115,54136.2190052867,54574.180258823326,54.19040940859225,-437.96125353663064,0.0
2024-05,DOG,396866.0,47448.4151271918,18517.756324786715,47.49591103823004,28930.65880240509,-0.0
2024-05,FET,25985.5,47442.25550497978,55117.361276027026,47.48974525023001,-7675.105771047245,0.0
2024-05,GRT,211523.0,46433.851429594666,48069.33493915229,46.48033176135603,-1635.4835095576277,0.0
2024-05,IOT,1295755.0,63359.125671044705,18878.403003528303,63.422548219263966,44480.7226675164,0.0
2024-05,PEP,5886940976.0,47806.87021286788,10830.167066932727,47.4079398262519,36976.70314593515,0.0
2024-05,RUN,2997.0000000000005,13399.968563540275,15592.358285076134,13.41338194548576,-2192.3897215358606,0.0
2024-05,SEI,19980.0,9873.119370600267,9927.689407645628,9.857183869264436,-54.570037045361595,0.0
2024-05,SHI,636254912.0,13160.36012309876,5555.647468245057,13.173533646650066,7604.712654853704,-0.0
2024-05,SOL,499.75800000000004,62596.85752610871,59235.67652378788,62.65951704315186,3361.1810023208263,0.0
2024-05,VET,528609.7,16965.92548164073,21564.999741367435,16.982908419037148,-4599.074259726706,0.0
2024-05,WIF,18732.04,49000.41407495825,49074.78305291851,49.049463582474175,-74.3689779602589,0.0
2024-05,XTZ,6658.1,5720.065947141439,5764.49241392592,5.72579173888032,-44.42646678448083,-0.0
2024-06,CFX,300.0,53.7765897989808,141.53863540450908,0.0538304202192,-87.76204560552829,0.0
2024-06,IOT,1000.0,49.318426914091205,46.16458324441782,0.049367794708800004,3.153843669673382,0.0
2024-06,PEP,16500000.0,191.1067207387383,188.49911231777406,0.1865109055017022,2.607608420964226,0.0
2024-06,WIF,50.0,126.09486237574883,119.13059523876288,0.123062476731168,6.964267136985953,0.0
2024-07,USD,25511.0,23514.977593635707,3236.092147408507,0.0,20278.8854462272,0.0
2024-08,BTC,4.16687,221621.16157825838,222387.90465116376,221.39203619475285,-766.7430729053676,-0.0
2024-08,ETH,50.0,101531.532922123,122307.01231408735,101.3344115374239,-20775.479391964345,0.0
2024-08,SOL,3600.009,442303.95711753855,448807.3679533406,442.7467038213599,-6503.410835802068,0.0
2024-08,USD,559950.0,508398.516898262,0.0,0.0,508398.516898262,0.0
2024-08,XRP,223489.0,113820.34607786871,113957.27229993814,113.9337708562113,-136.92622206943233,0.0
2024-09,BTC,6.43049,361405.64530478604,374103.5164728764,361.76741271413476,-12697.871168090376,-0.0
2024-09,ETH,330.0,765812.0745134639,783915.4157770262,766.5786531612661,-18103.3412635624,0.0
2024-09,SOL,1199.99,165863.79066946416,170012.9519011683,166.0298204899541,-4149.161231704163,0.0
2024-09,XRP,250000.0,137820.63426164884,142997.3214415928,137.95804122212803,-5176.687179943948,-0.0
2024-10,ATO,2328.4100000000003,9417.887467314073,18435.41207252136,9.42731478209617,-9017.524605207287,-0.0
2024-10,BTC,3.85878,248308.16289443208,254150.72539368467,248.55671963025918,-5842.562499252554,-0.0
2024-10,ETH,320.0,750800.3616716999,781507.5707639139,751.551913537452,-30707.209092214038,0.0
2024-10,SOL,1750.0,273179.25193576096,281555.2376466004,273.45270464040135,-8375.985710839474,0.0
2024-10,USD,74701.0,68224.23169206946,22565.647513466232,0.0,45658.584178603225,0.0
2024-11,ADA,30915.0,18889.655973374738,13776.951444844175,18.90856453791265,5112.704528530564,-0.0
2024-11,BON,169990500.0,5985.165441632182,3828.6925254685907,5.9911561879979836,2156.4729161635914,-0.0
2024-11,BTC,3.19988,291154.91243001074,292969.90528887976,291.44635882841783,-1814.9928588690077,-0.0
2024-11,ETH,175.18,576615.6107134653,567747.8875433106,577.1928035141391,8867.72317015467,-0.0
2024-11,NOT,1773000.0,10533.915555469177,12215.514176451536,10.544460030459899,-1681.5986209823568,-0.0
2024-11,PEP,316807610.0,5175.096573017465,3619.269894576701,5.180276848172157,1555.826678440764,-0.0
2024-11,SHI,390539484.0,9963.431870408662,9233.778479275268,9.973405289969591,729.6533911333936,0.0
2024-11,SOL,2088.784,472923.2311646162,479596.82630155364,473.39662779240854,-6673.595136937448,-0.0
2024-11,USD,87407.0,82942.46322652894,79828.58890120233,0.0,3113.874325326615,0.0
2024-11,WIF,1998.0,7976.049007487877,4605.205498162015,7.984033040528405,3370.843509325862,0.0
2024-11,XRP,5040.0,8076.821175645115,4417.500977187352,8.08490608172684,3659.3201984577627,0.0
2024-12,BCH,0.717,317.44438552129844,217.94101634697844,0.3177621476689673,99.50336917432,0.0
2024-12,BNB,2760.0,1879602.19267168,1851753.0802118443,1881.483676348028,27849.112459835585,0.0
2024-12,BON,612244909.0,18297.760318792032,13465.321526430445,18.316077222157226,4832.438792361588,-0.0
2024-12,BTC,15.63504,1454775.1212602202,1435904.1665023903,1456.2313526477772,18870.954757829702,0.0
2024-12,ENA,11808.5,12080.538749924248,9191.468352736121,12.092631381305551,2889.0703971881267,0.0
2024-12,ETH,104.69290000000001,341708.64330682054,339061.059131845,342.05069400563895,2647.584174975559,-0.0
2024-12,GRT,190.0,41.22016454285218,53.250852027282264,0.0412614259688209,-12.030687484430082,0.0
2024-12,MOV,5282952.0,4008947.887101426,3621764.0512477146,4012.9607806732442,387183.8358537108,0.0
2024-12,SHI,6785223598.0,192455.37098695463,9.243011700780702,192.64703727489692,192446.12797525385,0.0
2024-12,SLF,2505097.0,977837.0541128935,995638.3439141373,1302.2909011302586,-17801.289801243835,0.0
2024-12,SOL,503.5,93506.08103267968,92398.36764522942,93.59968071339308,1107.713387450271,-0.0
2024-12,TRX,700951.0,217782.1039418934,277647.5499121432,217.8173143844217,-59865.445970249806,0.0
2024-12,USD,2454363.0,2322922.066091992,2288333.8536274764,0.0,34588.21246451568,-0.0
2024-12,XRP,963362.0,1997340.6241077925,1571735.6483261848,1999.3399640718644,425604.9757816077,0.0
