date_utc,exchange,txid,asset,side,qty,proceeds_eur,cost_eur,fees_eur,realized_pnl_eur,short_sold_without_inventory,month
2024-01-02 20:58:16+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,100.2308,91.48774800000001,91.4848485252116,0.183342,0.0028994747884070193,False,2024-01
2024-01-02 20:58:16+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,296.227,270.387342,270.37878799807896,0.541858,0.008554001921027066,False,2024-01
2024-01-02 20:58:24+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,49.20184,44.91,44.908579793453676,0.09,0.0014202065463209124,False,2024-01
2024-01-02 20:58:36+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,463.7864,423.33064199999995,423.31726926307283,0.848358,0.013372736927124151,False,2024-01
2024-01-02 20:58:37+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,25144.94,22951.56488,9315.87507347864,45.99512,13635.68980652136,True,2024-01
2024-01-02 20:58:37+00:00,Kraken,OD4G7A-C6BLO-IDOOEC,USDT,sell,3945.615,3601.4426799999997,0.0,7.21732,3601.4426799999997,True,2024-01
2024-01-03 16:51:41+00:00,Kraken,OPGJSM-RVA6F-7VTI4M,ETH,buy,0.01,0.0,20.47860609040197,0.05310925906617,0.0,,2024-01
2024-01-03 18:08:40+00:00,Kraken,O7WTRP-XF7LC-B7XIDC,BTC,buy,0.0001,0.0,3.947064747773399,0.01023903287394,0.0,,2024-01
2024-01-03 18:09:46+00:00,Kraken,OJGOGV-P5W3Z-YUKLJ2,BTC,buy,0.0005,0.0,19.70445094833207,0.05109442254357,0.0,,2024-01
2024-01-03 22:00:34+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,2027.314,1855.733096,1856.6846772628621,3.718904,-0.9515812628621916,False,2024-01
2024-01-03 22:00:35+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:35+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,36.14614,33.086934,33.10389228318762,0.066306,-0.016958283187619827,False,2024-01
2024-01-03 22:00:36+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:36+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,29.80707,27.284372,27.29835148531581,0.054678,-0.013979485315807949,False,2024-01
2024-01-03 22:00:36+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:37+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,132.0798,120.901313,120.9632749716834,0.242287,-0.06196197168340234,False,2024-01
2024-01-03 22:00:38+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:39+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,21.367,19.558614,19.568641808361,0.039196,-0.010027808361002144,False,2024-01
2024-01-03 22:00:40+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:41+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,214.5034,196.349015,196.4496747917622,0.393485,-0.1006597917621832,False,2024-01
2024-01-03 22:00:44+00:00,Kraken,OY5FLV-Z3SVG-KE2YIL,USDT,sell,3826.266,3502.432097,3504.227491810278,7.018903,-1.7953948102781396,False,2024-01
2024-01-04 14:32:25+00:00,Kraken,O44QUG-PF7AU-JWKUJZ,SOL,buy,0.2,0.0,18.358573899205606,0.047608874261604,0.0,,2024-01
2024-01-04 21:28:19+00:00,Kraken,OT757F-SCY62-52RTCX,USDC,sell,3000.0,2730.217473551093,26.52042361741468,5.4713777025072,2703.6970499336785,True,2024-01
2024-01-04 23:31:18+00:00,Kraken,OHQPP3-4WLVG-V5YO3P,BTC,buy,0.0002,0.0,8.10874645884974,0.02102620285822,0.0,,2024-01
2024-01-05 09:46:07+00:00,Kraken,OQY4UF-J5AR5-VCYKCZ,BTC,buy,0.0005,0.0,20.24350333210959,0.05249519272179,0.0,,2024-01
2024-01-05 09:50:22+00:00,Kraken,O5ALYF-H4T3E-LQX5RC,BTC,sell,0.000105,4.24488599733792,0.0,0.01106125812104,4.24488599733792,True,2024-01
2024-01-05 20:31:43+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,524.4134,479.297284,480.1880777758442,0.960516,-0.8907937758442017,False,2024-01
2024-01-05 20:31:57+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,1091.127,997.255891,999.1090554500008,1.998509,-1.8531644500008042,False,2024-01
2024-01-05 20:32:00+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,27.16816,24.830839,24.876989274314077,0.049761,-0.046150274314076256,False,2024-01
2024-01-05 20:32:03+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,32.20905,29.438056000000003,29.492766215520145,0.058994,-0.054710215520142214,False,2024-01
2024-01-05 20:32:05+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,71.68116,65.514319,65.63607724963308,0.131291,-0.12175824963307491,False,2024-01
2024-01-05 20:32:12+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,1091.535,997.6283450000001,999.4826476117049,1.999255,-1.8543026117048385,False,2024-01
2024-01-05 20:32:22+00:00,Kraken,OIOP6V-AXUT6-OPYPWR,USDT,sell,4661.866,4260.798326,4268.717148319557,8.538674,-7.918822319556966,False,2024-01
2024-01-06 14:14:31+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,64.41237,58.83289073163821,0.0,0.11790129103188,58.83289073163821,True,2024-01
2024-01-06 14:20:46+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,21.6305,19.756836360462785,0.0,0.039592528137057,19.756836360462785,True,2024-01
2024-01-06 14:23:40+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,5013.272,4579.0160859913285,0.0,9.17638494186639,4579.0160859913285,True,2024-01
2024-01-06 14:25:10+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,5002.961,4569.598093138219,0.0,9.15751304369796,4569.598093138219,True,2024-01
2024-01-06 14:25:12+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,574.9798,525.1743564825086,0.0,1.052453987206255,525.1743564825086,True,2024-01
2024-01-06 14:25:12+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,574.955,525.1516937226994,0.0,1.052408203853105,525.1516937226994,True,2024-01
2024-01-06 14:25:54+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,295.646,270.03681334422186,0.0,0.5411555715647479,270.03681334422186,True,2024-01
2024-01-06 14:26:46+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,90.35015,82.52391718262531,0.0,0.16537862824843,82.52391718262531,True,2024-01
2024-01-06 14:30:43+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,1575.966,1439.4539348206226,0.0,2.884678141591491,1439.4539348206226,True,2024-01
2024-01-06 14:30:43+00:00,Kraken,OVNBPS-ZTHS7-YKCFEX,USDC,sell,140.2723,128.12177999300513,0.0,0.256756707133452,128.12177999300513,True,2024-01
2024-01-08 19:49:03+00:00,Kraken,O6JMW3-EK43H-L5KCXB,USDT,sell,3600.614,3281.863119,3289.43358150129,6.576881,-7.570462501289967,False,2024-01
2024-01-08 19:49:05+00:00,Kraken,O6JMW3-EK43H-L5KCXB,USDT,sell,1043.304,950.943402,953.1372186284401,1.905698,-2.1938166284401177,False,2024-01
2024-01-08 19:49:06+00:00,Kraken,O6JMW3-EK43H-L5KCXB,USDT,sell,456.0828,415.707319,416.666179230858,0.833081,-0.9588602308580221,False,2024-01
2024-01-10 10:17:30+00:00,Kraken,OI2D4V-F2TEE-LO4KTA,USDT,sell,71.17554,64.952744,65.0242462695219,0.130166,-0.07150226952190053,False,2024-01
2024-01-10 10:17:30+00:00,Kraken,OI2D4V-F2TEE-LO4KTA,USDT,sell,9928.824,9060.75917,9070.732683485641,18.15783,-9.973513485641888,False,2024-01
2024-01-10 10:19:19+00:00,Kraken,OQC4TY-G7ZAM-POYY7D,USDC,sell,1495.852,1364.772985,0.0,2.735015,1364.772985,True,2024-01
2024-01-10 10:20:18+00:00,Kraken,OQC4TY-G7ZAM-POYY7D,USDC,sell,5298.308,4834.026573,0.0,9.687427,4834.026573,True,2024-01
2024-01-10 10:20:21+00:00,Kraken,OQC4TY-G7ZAM-POYY7D,USDC,sell,3205.84,2924.917442,0.0,5.861558,2924.917442,True,2024-01
2024-01-10 10:29:52+00:00,Kraken,ORTBVU-DE6MA-VB4G3M,USDT,sell,1000.0,912.4713999999999,913.575735,1.8286,-1.1043350000001055,False,2024-01
2024-01-10 20:40:49+00:00,Kraken,OALCDO-KCIG7-AJVHG6,USDT,sell,27200.0,24792.07648,24849.259992,49.68352,-57.18351199999961,False,2024-01
2024-01-11 19:26:50+00:00,Kraken,OABEKI-WYPSB-V2XDIQ,BTC,sell,0.001964,82.93211000000001,83.01884451573362,0.21619,-0.08673451573361035,True,2024-01
2024-01-11 20:17:10+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,160.3687,146.155803,145.962228010672,0.292897,0.193574989327999,False,2024-01
2024-01-11 20:17:10+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,343.017,312.616614,312.20260291152,0.626486,0.41401108848003787,False,2024-01
2024-01-11 20:17:11+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,265.2254,241.719392,241.39928994262397,0.484408,0.32010205737603314,False,2024-01
2024-01-11 20:17:11+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,2759.468,2514.906108,2511.57549699008,5.039892,3.330611009920176,False,2024-01
2024-01-11 20:17:11+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,1086.73,990.416797,989.1053057488,1.984803,1.3114912511999819,False,2024-01
2024-01-11 20:17:11+00:00,Kraken,OYBF4N-XTPES-UZB35R,USDT,sell,385.1912,351.053087,350.588149446272,0.703513,0.4649375537280207,False,2024-01
2024-01-15 19:01:29+00:00,Kraken,OUHDTK-77TIB-2W33W7,USDT,sell,20668.92,18837.11028,18884.3490154086,37.74972,-47.238735408598586,False,2024-01
2024-01-15 19:01:29+00:00,Kraken,OUHDTK-77TIB-2W33W7,USDT,sell,6331.078,5769.97792,5784.44769227299,11.56308,-14.469772272989758,False,2024-01
2024-01-16 19:30:19+00:00,Kraken,OG6T4A-3TEPE-JHG5XI,USDT,sell,23510.0,21592.97749,21604.484477730002,43.27251,-11.506987730001129,False,2024-01
2024-01-17 16:45:44+00:00,Kraken,OCI5J4-AI7AA-UAR5VK,USDC,buy,13.0,0.0,11.98890226910835,0.02393031166335,0.0,,2024-01
2024-01-17 18:36:12+00:00,Kraken,O2NQKF-24ONP-64LY4N,USDC,buy,3508.0,0.0,3235.1592511627855,6.4574036949357,0.0,,2024-01
2024-01-18 19:59:00+00:00,Kraken,OO66SV-YUFXI-V2GG6O,USDT,sell,26400.0,24239.424,24275.862072,48.576,-36.43807200000083,False,2024-01
2024-01-19 22:07:00+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,32.29589,29.591558000000003,29.664636716232867,0.059302,-0.07307871623286388,False,2024-01
2024-01-19 22:07:01+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,207.3181,189.958023,190.42720671886227,0.380677,-0.4691837188622685,False,2024-01
2024-01-19 22:07:10+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,758.0892,694.609697,696.3251582941235,1.392003,-1.7154612941235428,False,2024-01
2024-01-19 22:07:21+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,23.92635,21.922846,21.976990901797045,0.043934,-0.05414490179704501,False,2024-01
2024-01-19 22:07:25+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,757.8123,694.356005,696.0708182556008,1.391495,-1.7148132556008022,False,2024-01
2024-01-19 22:07:26+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,207.757,190.360217,190.83034808003097,0.381483,-0.47013108003096704,False,2024-01
2024-01-19 22:07:30+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,161.7725,148.22635300000002,148.59235782561748,0.297047,-0.36600482561746617,False,2024-01
2024-01-19 22:07:31+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,53.97096,49.451639,49.57376686712567,0.099101,-0.12212786712566981,False,2024-01
2024-01-19 22:07:32+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,528.899,484.611036,485.80784411201694,0.971164,-1.1968081120169245,False,2024-01
2024-01-19 22:07:40+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,757.5357,694.102613,695.816753775083,1.390987,-1.714140775083024,False,2024-01
2024-01-19 22:07:46+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,10.673,9.779283,9.803435287659,0.019598,-0.024152287658999683,False,2024-01
2024-01-19 22:07:50+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,10.4799,9.602357000000001,9.6260677851717,0.019243,-0.02371078517169778,False,2024-01
2024-01-19 22:07:51+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,757.5357,694.102613,695.816753775083,1.390987,-1.714140775083024,False,2024-01
2024-01-19 22:07:52+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,87.12776,79.83201600000001,80.02917239002007,0.159984,-0.19715639002005503,False,2024-01
2024-01-19 22:08:00+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,200.5516,183.75814699999998,184.21199591834278,0.368253,-0.45384891834279983,False,2024-01
2024-01-19 22:08:01+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,53.98029,49.460191,49.58233672107806,0.099119,-0.12214572107805566,False,2024-01
2024-01-19 22:08:02+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,11.33475,10.385617,10.411270320134248,0.020813,-0.025653320134248148,False,2024-01
2024-01-19 22:08:02+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,50.0,45.81319,45.926334149999995,0.09181,-0.11314414999999656,False,2024-01
2024-01-19 22:08:04+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,215.3059,197.27705500000002,197.76421415732966,0.395345,-0.48715915732964277,False,2024-01
2024-01-19 22:08:30+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,161.4795,147.95779100000001,148.32322950749847,0.296509,-0.3654385074984532,False,2024-01
2024-01-19 22:08:31+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,32.37594,29.664901,29.738164777207015,0.059449,-0.07326377720701416,False,2024-01
2024-01-19 22:08:32+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,235.7469,216.006421,216.53981808453267,0.432879,-0.5333970845326803,False,2024-01
2024-01-19 22:08:35+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,33.60369,30.789846999999998,30.865885912260264,0.061703,-0.07603891226026604,False,2024-01
2024-01-19 22:08:46+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,1282.18,1174.81566,1177.7165424089399,2.35434,-2.9008824089398786,False,2024-01
2024-01-19 22:09:00+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,86.76948,79.50373400000001,79.70008265003483,0.159326,-0.19634865003482105,False,2024-01
2024-01-19 22:09:00+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,24.32369,22.286917,22.341958294020266,0.044663,-0.05504129402026692,False,2024-01
2024-01-19 22:09:25+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,141.7724,129.900878,130.22173231294917,0.260322,-0.3208543129491659,False,2024-01
2024-01-19 22:09:30+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,49.47503,45.332174,45.44413519722548,0.090846,-0.11196119722547593,False,2024-01
2024-01-19 22:09:48+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,62.54308,57.305958,57.44748781700363,0.114842,-0.14152981700363654,False,2024-01
2024-01-19 22:10:03+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,486.2717,445.553208,446.65353163777104,0.892892,-1.100323637771055,False,2024-01
2024-01-19 22:10:30+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,15.45647,14.162209,14.197180119989007,0.028381,-0.03497111998900593,False,2024-01
2024-01-19 22:10:32+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,53.93432,49.418065999999996,49.540112049460554,0.099034,-0.12204604946055753,False,2024-01
2024-01-19 22:10:51+00:00,Kraken,OOVR23-EYJUJ-3GZ5H7,USDT,sell,5347.701,4899.905551000001,4912.006061205782,9.819449,-12.100510205781575,False,2024-01
2024-01-21 13:34:20+00:00,Kraken,OFBJ4C-IE3XE-TAEMT2,ETH,sell,0.054123,122.95566,121.2764056649574,0.19704,1.6792543350426001,False,2024-01
2024-01-21 13:35:20+00:00,Kraken,OFBJ4C-IE3XE-TAEMT2,ETH,sell,0.041566,94.42994,94.31338054838406,0.15133,0.11655945161594161,False,2024-01
2024-01-21 13:35:47+00:00,Kraken,OFBJ4C-IE3XE-TAEMT2,ETH,sell,0.10719,243.51216,243.2144363417525,0.39024,0.2977236582474916,False,2024-01
2024-01-21 13:35:50+00:00,Kraken,OFBJ4C-IE3XE-TAEMT2,ETH,sell,0.066195,150.38119999999998,150.19665653178757,0.241,0.18454346821241074,False,2024-01
2024-01-21 13:35:57+00:00,Kraken,OFBJ4C-IE3XE-TAEMT2,ETH,sell,0.490926,1115.28069,1113.9125886324396,1.78731,1.3681013675604845,False,2024-01
2024-01-21 14:03:37+00:00,Kraken,OQX25S-KA7HR-QZCFNT,ETH,buy,0.01,0.0,22.826800000000002,0.0592,0.0,,2024-01
2024-01-22 17:15:46+00:00,Kraken,OY3ZIM-FKS7E-Q6GHNI,USDT,sell,10000.0,9154.654,9182.736460000002,18.346,-28.082460000001447,False,2024-01
2024-01-23 20:51:41+00:00,Kraken,OFRW6I-FGDDZ-SQDBFD,USDT,sell,20752.81,19093.74597,19088.30941554446,38.26403,5.436554455540318,False,2024-01
2024-01-23 20:51:41+00:00,Kraken,OFRW6I-FGDDZ-SQDBFD,USDT,sell,247.1915,227.430128,227.365250146489,0.455772,0.06487785351100683,False,2024-01
2024-01-24 12:28:29+00:00,Kraken,OYXTNG-OJKIZ-AUKHNF,BTC,buy,0.000248,0.0,9.193947734196,0.0238422741959999,0.0,,2024-01
2024-01-25 17:06:21+00:00,Kraken,OLZ6HH-FMSXU-26P2EV,USDT,sell,22000.0,20260.996799999997,20196.456434,40.6032,64.54036599999745,False,2024-01
2024-01-26 18:52:40+00:00,Kraken,OV6KL5-W3NMY-LFGVYE,USDT,sell,11500.0,10576.0555,10578.603624,21.1945,-2.5481239999990066,False,2024-01
2024-02-02 23:10:03+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,14.00176,12.935507,12.947808389880802,0.025923,-0.012301389880802205,False,2024-02
2024-02-02 23:10:03+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,21.60311,19.958004000000003,19.97698352960755,0.039996,-0.018979529607548784,False,2024-02
2024-02-02 23:10:13+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,10.0,9.238486,9.247272050000001,0.018514,-0.008786050000001211,False,2024-02
2024-02-02 23:10:19+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,924.69,854.273529,855.0859991914501,1.711971,-0.8124701914500747,False,2024-02
2024-02-02 23:10:30+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,98.29318,90.80802,90.89437761196191,0.18198,-0.08635761196191538,False,2024-02
2024-02-02 23:10:41+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,315.5225,291.495042,291.7722395396125,0.584158,-0.27719753961247307,False,2024-02
2024-02-02 23:10:50+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,347.6895,321.21238800000003,321.5179395428475,0.643712,-0.30555154284746777,False,2024-02
2024-02-02 23:11:31+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,1506.256,1391.552317,1392.87590089448,2.788683,-1.3235838944801799,False,2024-02
2024-02-02 23:11:37+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,37.8051,34.926188,34.95940445774551,0.069992,-0.03321645774550319,False,2024-02
2024-02-02 23:12:00+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,53.4968,49.422946,49.469946340444004,0.099044,-0.0470003404440007,False,2024-02
2024-02-02 23:12:01+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,410.2131,378.97473199999996,379.33521341738555,0.759468,-0.3604814173855857,False,2024-02
2024-02-02 23:12:08+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,60.40341,55.803608999999994,55.85667650176905,0.111831,-0.053067501769056946,False,2024-02
2024-02-02 23:12:08+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,5401.318,4990.0,4994.74569745619,10.0,-4.745697456190101,False,2024-02
2024-02-02 23:12:23+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,1413.533,1305.889985,1307.132420265265,2.617015,-1.2424352652649304,False,2024-02
2024-02-02 23:12:27+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,14.25009,13.164927,13.177445896698451,0.026383,-0.012518896698450632,False,2024-02
2024-02-02 23:12:30+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,390.5404,360.800253,361.143332531582,0.723047,-0.34307953158202054,False,2024-02
2024-02-02 23:12:42+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,47.5264,43.9072,43.948955035712004,0.08799,-0.04175503571200068,False,2024-02
2024-02-02 23:12:44+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,390.5404,360.800253,361.143332531582,0.723047,-0.34307953158202054,False,2024-02
2024-02-02 23:12:58+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,1214.674,1122.175152,1123.24209300617,2.248848,-1.0669410061700546,False,2024-02
2024-02-02 23:12:59+00:00,Kraken,O3ZBLP-VKTQ5-N23JU7,USDT,sell,95.35098,88.089867,88.17364522941091,0.176533,-0.0837782294109104,False,2024-02
