month,account,debit,credit,asset,memo,posting_date,Reference
2024-05,262500 Cost of acquisition of crypto assets,0.0,5982.62,BTC,Relieve cost BTC,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,3.07,0.0,BTC,Trading fees BTC,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,0.0,146.82,BTC,Realized PnL before fees BTC,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,9083.48,0.0,DCR,Sells proceeds DCR,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,9484.68,DCR,Relieve cost DCR,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,4.23,0.0,DCR,Trading fees DCR,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,396.96,0.0,DCR,Realized PnL before fees DCR,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,146031.71,0.0,ETH,Sells proceeds ETH,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,145832.4,ETH,Relieve cost ETH,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,70.42,0.0,ETH,Trading fees ETH,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,0.0,269.73,ETH,Realized PnL before fees ETH,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,11044.9,0.0,INJ,Sells proceeds INJ,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,12556.39,INJ,Relieve cost INJ,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,4.97,0.0,INJ,Trading fees INJ,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,1506.51,0.0,INJ,Realized PnL before fees INJ,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,13422.55,0.0,PEPE,Sells proceeds PEPE,2024-05-31,CRYPTO ALL 2024-05
