month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,262500 Cost of acquisition of crypto assets,23531.2,0.0,PEPE,okx Buy PEPE - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,23541.52,PEPE,okx Buy PEPE - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,10.32,0.0,PEPE,okx Buy PEPE - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,26794.74,PEPE,okx PEPE withdrawal (inventory decrease),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,26794.74,0.0,PEPE,okx Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,10.32,PEPE,okx Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,10.32,0.0,PEPE,okx Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
