month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,262500 Cost of acquisition of crypto assets,9193.14,0.0,SUI,okx Buy SUI - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,9197.32,SUI,okx Buy SUI - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,4.17,0.0,SUI,okx Buy SUI - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,11844.16,SUI,okx SUI withdrawal (inventory decrease),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,11844.16,0.0,SUI,okx Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,4.17,SUI,okx Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,4.17,0.0,SUI,okx Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
