month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-04,262500 Cost of acquisition of crypto assets,11097.72,0.0,INJ,okx Buy INJ - inventory at cost,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,11102.68,INJ,okx Buy INJ - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,4.97,0.0,INJ,okx Buy INJ - fees,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,4.97,INJ,okx Fee credit,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,4.97,0.0,INJ,okx Fee paid,2024-04-30,CRYPTO ALL 2024-04,2024-04
