month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-10,274200 Exchanges EUR,750800.36,0.0,ETH,Sells proceeds ETH,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,262500 Cost of acquisition of crypto assets,0.0,781507.57,ETH,Relieve cost ETH,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,631200 Other Costs and Bank Taxes,751.55,0.0,ETH,Trading fees ETH,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,540100 Other Income,29955.66,0.0,ETH,Realized PnL before fees ETH,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,262500 Cost of acquisition of crypto assets,781507.57,0.0,ETH,binance ETH deposit (inventory increase),2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,273001 Liquidity Transfer,0.0,781507.57,ETH,binance Transfer clearing,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,274200 Exchanges EUR,0.0,751.55,ETH,binance Fee credit,2024-10-31,CRYPTO ALL 2024-10,2024-10
2024-10,631200 Other Costs and Bank Taxes,751.55,0.0,ETH,binance Fee paid,2024-10-31,CRYPTO ALL 2024-10,2024-10
