month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-04,274200 Exchanges EUR,32123.17,0.0,BTC,Sells proceeds BTC,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,262500 Cost of acquisition of crypto assets,0.0,31684.02,BTC,Relieve cost BTC,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,32.16,0.0,BTC,Trading fees BTC,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,540100 Other Income,0.0,471.31,BTC,Realized PnL before fees BTC,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,262500 Cost of acquisition of crypto assets,47.18,0.0,BTC,binance Buy BTC - inventory at cost,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,47.23,BTC,binance Buy BTC - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,0.05,0.0,BTC,binance Buy BTC - fees,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,262500 Cost of acquisition of crypto assets,31647.27,0.0,BTC,binance BTC deposit (inventory increase),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,273001 Liquidity Transfer,0.0,31647.27,BTC,binance Transfer clearing,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,32.2,BTC,binance Fee credit,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,32.2,0.0,BTC,binance Fee paid,2024-04-30,CRYPTO ALL 2024-04,2024-04
