month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-01,262500 Cost of acquisition of crypto assets,4609.22,0.0,PYTH,okx Buy PYTH - inventory at cost,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,274200 Exchanges EUR,0.0,4611.53,PYTH,okx Buy PYTH - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,631200 Other Costs and Bank Taxes,2.31,0.0,PYTH,okx Buy PYTH - fees,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,274200 Exchanges EUR,0.0,2.31,PYTH,okx Fee credit,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,631200 Other Costs and Bank Taxes,2.31,0.0,PYTH,okx Fee paid,2024-01-31,CRYPTO ALL 2024-01,2024-01
