month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-05,274200 Exchanges EUR,6126.38,0.0,BTC,Sells proceeds BTC,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,5982.62,BTC,Relieve cost BTC,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,3.07,0.0,BTC,Trading fees BTC,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,540100 Other Income,0.0,146.82,BTC,Realized PnL before fees BTC,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,11531.91,0.0,BTC,okx Buy BTC - inventory at cost,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,274200 Exchanges EUR,0.0,11537.08,BTC,okx Buy BTC - cash outflow (cost + fees),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,5.16,0.0,BTC,okx Buy BTC - fees,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,5982.62,0.0,BTC,okx BTC deposit (inventory increase),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,11566.26,BTC,okx BTC withdrawal (inventory decrease),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,273001 Liquidity Transfer,11566.26,5982.62,BTC,okx Transfer clearing,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,274200 Exchanges EUR,0.0,8.23,BTC,okx Fee credit,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,8.23,0.0,BTC,okx Fee paid,2024-05-31,CRYPTO ALL 2024-05,2024-05
