month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,262500 Cost of acquisition of crypto assets,8371.81,0.0,XTZ,okx Buy XTZ - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,8375.03,XTZ,okx Buy XTZ - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,3.22,0.0,XTZ,okx Buy XTZ - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,8482.33,XTZ,okx XTZ withdrawal (inventory decrease),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,8482.33,0.0,XTZ,okx Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,3.22,XTZ,okx Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,3.22,0.0,XTZ,okx Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
