month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-01,262500 Cost of acquisition of crypto assets,495.05,0.0,TRX,okx Buy TRX - inventory at cost,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,274200 Exchanges EUR,0.0,495.26,TRX,okx Buy TRX - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,631200 Other Costs and Bank Taxes,0.22,0.0,TRX,okx Buy TRX - fees,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,262500 Cost of acquisition of crypto assets,0.0,492.6,TRX,okx TRX withdrawal (inventory decrease),2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,273001 Liquidity Transfer,492.6,0.0,TRX,okx Transfer clearing,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,274200 Exchanges EUR,0.0,0.22,TRX,okx Fee credit,2024-01-31,CRYPTO ALL 2024-01,2024-01
2024-01,631200 Other Costs and Bank Taxes,0.22,0.0,TRX,okx Fee paid,2024-01-31,CRYPTO ALL 2024-01,2024-01
