month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-06,262500 Cost of acquisition of crypto assets,3637.59,0.0,PYTH,binance PYTH deposit (inventory increase),2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,273001 Liquidity Transfer,0.0,3637.59,PYTH,binance Transfer clearing,2024-06-30,CRYPTO ALL 2024-06,2024-06
