month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-06,262500 Cost of acquisition of crypto assets,13.81,0.0,ETH,okx Buy ETH - inventory at cost,2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,274200 Exchanges EUR,0.0,13.82,ETH,okx Buy ETH - cash outflow (cost + fees),2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,631200 Other Costs and Bank Taxes,0.01,0.0,ETH,okx Buy ETH - fees,2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,262500 Cost of acquisition of crypto assets,0.0,13.79,ETH,okx ETH withdrawal (inventory decrease),2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,273001 Liquidity Transfer,13.79,0.0,ETH,okx Transfer clearing,2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,274200 Exchanges EUR,0.0,0.01,ETH,okx Fee credit,2024-06-30,CRYPTO ALL 2024-06,2024-06
2024-06,631200 Other Costs and Bank Taxes,0.01,0.0,ETH,okx Fee paid,2024-06-30,CRYPTO ALL 2024-06,2024-06
