month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-04,262500 Cost of acquisition of crypto assets,18727.79,0.0,PEPE,okx Buy PEPE - inventory at cost,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,18736.44,PEPE,okx Buy PEPE - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,8.65,0.0,PEPE,okx Buy PEPE - fees,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,262500 Cost of acquisition of crypto assets,0.0,4672.77,PEPE,okx PEPE withdrawal (inventory decrease),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,273001 Liquidity Transfer,4672.77,0.0,PEPE,okx Transfer clearing,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,8.65,PEPE,okx Fee credit,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,8.65,0.0,PEPE,okx Fee paid,2024-04-30,CRYPTO ALL 2024-04,2024-04
