month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-04,262500 Cost of acquisition of crypto assets,183630.58,0.0,TON,okx Buy TON - inventory at cost,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,183723.28,TON,okx Buy TON - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,92.7,0.0,TON,okx Buy TON - fees,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,262500 Cost of acquisition of crypto assets,0.0,179548.96,TON,okx TON withdrawal (inventory decrease),2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,273001 Liquidity Transfer,179548.96,0.0,TON,okx Transfer clearing,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,274200 Exchanges EUR,0.0,92.7,TON,okx Fee credit,2024-04-30,CRYPTO ALL 2024-04,2024-04
2024-04,631200 Other Costs and Bank Taxes,92.7,0.0,TON,okx Fee paid,2024-04-30,CRYPTO ALL 2024-04,2024-04
