month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-02,262500 Cost of acquisition of crypto assets,184.39,0.0,TRX,okx Buy TRX - inventory at cost,2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,274200 Exchanges EUR,0.0,184.48,TRX,okx Buy TRX - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,631200 Other Costs and Bank Taxes,0.09,0.0,TRX,okx Buy TRX - fees,2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,262500 Cost of acquisition of crypto assets,0.0,183.79,TRX,okx TRX withdrawal (inventory decrease),2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,273001 Liquidity Transfer,183.79,0.0,TRX,okx Transfer clearing,2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,274200 Exchanges EUR,0.0,0.09,TRX,okx Fee credit,2024-02-29,CRYPTO ALL 2024-02,2024-02
2024-02,631200 Other Costs and Bank Taxes,0.09,0.0,TRX,okx Fee paid,2024-02-29,CRYPTO ALL 2024-02,2024-02
